wavenumber,L_I_xx_ir_sq,L_I_yy_ir_sq,L_I_zz_ir_sq,L_II_xx_ir_sq,L_II_yy_ir_sq,L_II_zz_ir_sq_n,L_II_zz_ir_sq_w
3360.0,1.1735195076655003,0.7763564946435964,0.8948113449785557,1.1751749611598965,0.7707354274540106,0.803760794957288,0.5882708675306392
3380.0,1.1930137524019766,0.7853366136517941,0.8823064401965676,1.1951819460801325,0.7792232522134084,0.7865380314612596,0.6192359662041043
3390.0,1.2024601356631595,0.7919272097156137,0.8759314866961565,1.2049800256846717,0.7855987546604303,0.7792543624915598,0.6396709561844908
3400.0,1.212647598317363,0.799491415324165,0.8690057512701586,1.2155840045777435,0.7929451887756263,0.7718826044101589,0.6632059346889236
3410.0,1.2218725478756705,0.8086776902015376,0.862166835426671,1.225311136113779,0.8019449780870209,0.7662968899529369,0.6910103023865741
3420.0,1.2305701355915872,0.8179204074761444,0.8556357617628745,1.2345317273063254,0.8110174064160794,0.7616338012343138,0.7195318726912794
3440.0,1.2528243599351936,0.8416515011891826,0.8390570593474951,1.2582374860446761,0.8343544971698358,0.7517163686602562,0.7967978844022857
3460.0,1.2689529716946957,0.8686908978327915,0.8252644210223536,1.2760751164251214,0.861124896428898,0.7518257396383382,0.8884529724853782
3480.0,1.2787797549514035,0.9008806075605209,0.81421692184442,1.2880021657014686,0.8931433072827669,0.7640894099563001,1.0050284345692702
3500.0,1.282105820363575,0.9328410036472735,0.8074011858128826,1.293496610064894,0.9250050952233688,0.7858878819201739,1.131008245679467
3520.0,1.278075589037022,0.9666288300739332,0.8049766061525436,1.2918281994609901,0.9587734432855527,0.819954701137688,1.2756186473483992
3540.0,1.2594803501453429,1.0077134816022923,0.8112134041291059,1.2760251053580873,0.9999634276767874,0.8790423555296659,1.4677792284104028
3560.0,1.2245053779283237,1.0472411025678867,0.828731206289685,1.2434367948699732,1.0397204953258863,0.9546197791983921,1.6669741389621187
3580.0,1.1725058358036335,1.0880744313406379,0.8583761253794527,1.1934565463057536,1.080900348725431,1.049513223396798,1.887054007390626
3600.0,1.0949844072737631,1.1341433941860852,0.9067095962796222,1.1174432951931363,1.1275018976512836,1.1755704943759167,2.1499144385903826
3640.0,0.8875325066874846,1.2274422347323193,1.0507602878788858,0.9092890827073677,1.2223466764865953,1.468775229531369,2.6924462393558892
3680.0,0.6949399201245768,1.289385520744288,1.205377981757052,0.7027680381089613,1.2874735082147717,1.5718817575059425,2.6852319309256
3720.0,0.7931497986295495,1.2206931474553846,1.1399791574097282,0.7942453063968937,1.2202959182637947,1.3182701040528484,1.9890958177609688
3760.0,0.8539734343112707,1.1708173749604434,1.0973677321170263,0.8542950995910982,1.1706641251515093,1.2128124292042466,1.691099726619421
3800.0,0.8846258796167171,1.14275667239691,1.0764507589470833,0.8847439605138012,1.142687655822888,1.1640924483336406,1.547646381577345
4000.0,0.9446491105405515,1.0781897666290454,1.036012209866049,0.9446896867553336,1.078127935196742,1.0757389233053871,1.2709434407861349
